             f                  xj                  yj                  zj               Zxx_real            Zxx_imag            Error              Zxy_real            Zxy_imag              Error              Zyx_real            Zyx_imag             Error              Zyy_real            Zyy_imag             Error
    1.0000000000E+01    3.5000000000E+04   -3.5000000000E+04    0.0000000000E+00   -5.3132488860E-04   -2.6382915606E-03    2.8385951355E-03    6.3834147603E-02   -6.9079784897E-02    2.8385951355E-03   -6.3916789337E-02    6.5412300957E-02    2.8385951355E-03    1.6255994425E-03    1.1384111960E-03    2.8385951355E-03
    1.0000000000E+01   -3.5000000000E+04   -3.0625000000E+04    0.0000000000E+00   -6.3399401944E-03   -1.7508587056E-03    2.8385945971E-03    6.0743665852E-02   -7.1074601588E-02    2.8385945971E-03   -6.1171336757E-02    7.0460545530E-02    2.8385945971E-03   -4.1903580594E-04    4.4015963361E-03    2.8385945971E-03
    1.0000000000E+01   -3.0625000000E+04   -3.0625000000E+04    0.0000000000E+00    1.4925923114E-03   -7.0296865193E-04    2.8385934405E-03    6.0262277863E-02   -7.2363344922E-02    2.8385934405E-03   -6.1122275387E-02    6.8247726105E-02    2.8385934405E-03    2.4123728837E-04   -4.7178045317E-04    2.8385934405E-03
    1.0000000000E+01   -2.6250000000E+04   -3.0625000000E+04    0.0000000000E+00    4.3359668645E-03   -7.5204874363E-04    2.8385918942E-03    6.3599168090E-02   -6.9497866213E-02    2.8385918942E-03   -6.3490292158E-02    6.9081756136E-02    2.8385918942E-03    1.4089675750E-04    1.0667089412E-03    2.8385918942E-03
    1.0000000000E+01   -2.1875000000E+04   -3.0625000000E+04    0.0000000000E+00    1.6692897476E-04   -4.9968000456E-04    2.8386093322E-03    6.1278464171E-02   -6.6658506380E-02    2.8386093322E-03   -6.2604183496E-02    6.8627592615E-02    2.8386093322E-03    1.5544954410E-03    6.8955306386E-04    2.8386093322E-03
    1.0000000000E+01   -1.7500000000E+04   -3.0625000000E+04    0.0000000000E+00    5.0754683041E-05    9.1251398728E-04    2.8373367071E-03    6.3695164968E-02   -6.9239744395E-02    2.8373367071E-03   -6.2049183238E-02    6.8830401974E-02    2.8373367071E-03   -3.1282125832E-04    2.5126118974E-03    2.8373367071E-03
    1.0000000000E+01   -1.3125000000E+04   -3.0625000000E+04    0.0000000000E+00   -1.0829011448E-03   -1.1447058282E-03    2.8749016741E-03    6.3683741069E-02   -7.0032260000E-02    2.8749016741E-03   -6.0278575387E-02    7.2361012249E-02    2.8749016741E-03   -1.5894712278E-05    4.5640324193E-04    2.8749016741E-03
    1.0000000000E+01   -8.7500000000E+03   -3.0625000000E+04    0.0000000000E+00   -1.3581008460E-03    1.1677240812E-03    2.9337461217E-03    5.9451611988E-02   -7.7890123942E-02    2.9337461217E-03   -5.7178938394E-02    7.9353888614E-02    2.9337461217E-03   -3.6908419263E-04   -3.8789459914E-03    2.9337461217E-03
    1.0000000000E+01   -4.3750000000E+03   -3.0625000000E+04    0.0000000000E+00    7.8728747477E-05    3.1020420738E-03    2.8453681559E-03    6.4625300798E-02   -6.9350357831E-02    2.8453681559E-03   -6.4544708143E-02    6.8087765760E-02    2.8453681559E-03   -4.1236526776E-04   -3.7970113797E-03    2.8453681559E-03
    1.0000000000E+01    0.0000000000E+00   -3.0625000000E+04    0.0000000000E+00   -1.3990251876E-03   -1.0322675651E-03    2.8382057023E-03    6.4879053110E-02   -7.1630441229E-02    2.8382057023E-03   -6.2649720639E-02    7.3704446447E-02    2.8382057023E-03    1.9095556420E-03   -2.6325325992E-03    2.8382057023E-03
    1.0000000000E+01    4.3750000000E+03   -3.0625000000E+04    0.0000000000E+00   -3.4572479641E-04   -3.2885675882E-03    2.8386036112E-03    6.1965259183E-02   -6.9904748695E-02    2.8386036112E-03   -6.2808311041E-02    7.1538375274E-02    2.8386036112E-03    2.3951605200E-03    4.0977194097E-03    2.8386036112E-03
    1.0000000000E+01    8.7500000000E+03   -3.0625000000E+04    0.0000000000E+00   -2.0476965682E-03    2.2956987149E-03    2.8385928635E-03    6.0156948060E-02   -7.2180234758E-02    2.8385928635E-03   -5.9775226245E-02    6.9539857330E-02    2.8385928635E-03   -1.5746543899E-03   -4.4848708222E-03    2.8385928635E-03
    1.0000000000E+01    1.3125000000E+04   -3.0625000000E+04    0.0000000000E+00   -1.6511636135E-03   -4.6467454737E-04    2.8385945352E-03    6.3642070581E-02   -7.2547676159E-02    2.8385945352E-03   -6.1108470223E-02    6.7367299381E-02    2.8385945352E-03    2.1158261986E-03   -2.7184202417E-03    2.8385945352E-03
    1.0000000000E+01    1.7500000000E+04   -3.0625000000E+04    0.0000000000E+00   -1.8246125094E-03    1.3804659227E-03    2.8385948768E-03    6.5130988948E-02   -7.3794681426E-02    2.8385948768E-03   -6.4603891508E-02    7.1723506847E-02    2.8385948768E-03   -2.1419519009E-03    1.0293617190E-03    2.8385948768E-03
    1.0000000000E+01    2.1875000000E+04   -3.0625000000E+04    0.0000000000E+00   -1.6810866400E-03   -1.3987975427E-03    2.8385950148E-03    6.1030925524E-02   -7.5491772544E-02    2.8385950148E-03   -6.4628978469E-02    7.5287288864E-02    2.8385950148E-03   -1.5706809201E-04   -3.1897311027E-04    2.8385950148E-03
    1.0000000000E+01    2.6250000000E+04   -3.0625000000E+04    0.0000000000E+00   -6.3217735671E-04    2.3896772230E-03    2.8385950791E-03    6.2736319040E-02   -7.3973846635E-02    2.8385950791E-03   -5.9549082781E-02    6.7871535963E-02    2.8385950791E-03   -7.6758905216E-04   -2.1671151974E-03    2.8385950791E-03
    1.0000000000E+01    3.0625000000E+04   -3.0625000000E+04    0.0000000000E+00    2.2080570312E-03    2.1820401830E-03    2.8385951137E-03    5.9688594704E-02   -7.2753243192E-02    2.8385951137E-03   -6.1830546657E-02    7.5067173530E-02    2.8385951137E-03   -2.5167289628E-03   -1.2489770466E-03    2.8385951137E-03
